trendId,company,product,genericName,brandContext,diseaseAreas,overlapUnits,linkedPrograms,period,year,status,revenueUsdM,growthVsPrior,projectionBasis,patentSummary,patentEvents,sourceUrls
BAXFENDY,AstraZeneca,Baxfendy,baxdrostat,Approved asset brand,Cardiovascular,Hypertension,baxdrostat,2028,2028,projected,450,2.0,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
BAXFENDY,AstraZeneca,Baxfendy,baxdrostat,Approved asset brand,Cardiovascular,Hypertension,baxdrostat,2029,2029,projected,850,0.8888888888888888,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
BAXFENDY,AstraZeneca,Baxfendy,baxdrostat,Approved asset brand,Cardiovascular,Hypertension,baxdrostat,2030,2030,projected,1250,0.47058823529411775,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
BAXFENDY,AstraZeneca,Baxfendy,baxdrostat,Approved asset brand,Cardiovascular,Hypertension,baxdrostat,2031,2031,projected,1550,0.24,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
TAGRISSO,AstraZeneca,Tagrisso,osimertinib,NSCLC commercial benchmark,Solid-tumor oncology,NSCLC,,2023,2023,reported,5799,,2026E annualizes H1 2026. Thereafter an illustrative slowing-growth curve is followed by modeled erosion beginning at the earliest disclosed 2032 exclusivity date.,Disclosed minimum exclusivity dates: US/China/EU 2032 and 2035; Japan 2034 and 2035. The scenario applies a cliff from 2032.,2032: Earliest disclosed LOE | 2035: Later patent layer,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
TAGRISSO,AstraZeneca,Tagrisso,osimertinib,NSCLC commercial benchmark,Solid-tumor oncology,NSCLC,,2024,2024,reported,6580,0.1346783928263493,2026E annualizes H1 2026. Thereafter an illustrative slowing-growth curve is followed by modeled erosion beginning at the earliest disclosed 2032 exclusivity date.,Disclosed minimum exclusivity dates: US/China/EU 2032 and 2035; Japan 2034 and 2035. The scenario applies a cliff from 2032.,2032: Earliest disclosed LOE | 2035: Later patent layer,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
TAGRISSO,AstraZeneca,Tagrisso,osimertinib,NSCLC commercial benchmark,Solid-tumor oncology,NSCLC,,2025,2025,reported,7254,0.10243161094224917,2026E annualizes H1 2026. Thereafter an illustrative slowing-growth curve is followed by modeled erosion beginning at the earliest disclosed 2032 exclusivity date.,Disclosed minimum exclusivity dates: US/China/EU 2032 and 2035; Japan 2034 and 2035. The scenario applies a cliff from 2032.,2032: Earliest disclosed LOE | 2035: Later patent layer,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
TAGRISSO,AstraZeneca,Tagrisso,osimertinib,NSCLC commercial benchmark,Solid-tumor oncology,NSCLC,,2026E,2026,projected,7550,0.04080507306313752,2026E annualizes H1 2026. Thereafter an illustrative slowing-growth curve is followed by modeled erosion beginning at the earliest disclosed 2032 exclusivity date.,Disclosed minimum exclusivity dates: US/China/EU 2032 and 2035; Japan 2034 and 2035. The scenario applies a cliff from 2032.,2032: Earliest disclosed LOE | 2035: Later patent layer,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
TAGRISSO,AstraZeneca,Tagrisso,osimertinib,NSCLC commercial benchmark,Solid-tumor oncology,NSCLC,,2027,2027,projected,8079,0.07006622516556282,2026E annualizes H1 2026. Thereafter an illustrative slowing-growth curve is followed by modeled erosion beginning at the earliest disclosed 2032 exclusivity date.,Disclosed minimum exclusivity dates: US/China/EU 2032 and 2035; Japan 2034 and 2035. The scenario applies a cliff from 2032.,2032: Earliest disclosed LOE | 2035: Later patent layer,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
TAGRISSO,AstraZeneca,Tagrisso,osimertinib,NSCLC commercial benchmark,Solid-tumor oncology,NSCLC,,2028,2028,projected,8564,0.06003218220076745,2026E annualizes H1 2026. Thereafter an illustrative slowing-growth curve is followed by modeled erosion beginning at the earliest disclosed 2032 exclusivity date.,Disclosed minimum exclusivity dates: US/China/EU 2032 and 2035; Japan 2034 and 2035. The scenario applies a cliff from 2032.,2032: Earliest disclosed LOE | 2035: Later patent layer,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
TAGRISSO,AstraZeneca,Tagrisso,osimertinib,NSCLC commercial benchmark,Solid-tumor oncology,NSCLC,,2029,2029,projected,8992,0.04997664642690336,2026E annualizes H1 2026. Thereafter an illustrative slowing-growth curve is followed by modeled erosion beginning at the earliest disclosed 2032 exclusivity date.,Disclosed minimum exclusivity dates: US/China/EU 2032 and 2035; Japan 2034 and 2035. The scenario applies a cliff from 2032.,2032: Earliest disclosed LOE | 2035: Later patent layer,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
TAGRISSO,AstraZeneca,Tagrisso,osimertinib,NSCLC commercial benchmark,Solid-tumor oncology,NSCLC,,2030,2030,projected,9352,0.040035587188612,2026E annualizes H1 2026. Thereafter an illustrative slowing-growth curve is followed by modeled erosion beginning at the earliest disclosed 2032 exclusivity date.,Disclosed minimum exclusivity dates: US/China/EU 2032 and 2035; Japan 2034 and 2035. The scenario applies a cliff from 2032.,2032: Earliest disclosed LOE | 2035: Later patent layer,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
TAGRISSO,AstraZeneca,Tagrisso,osimertinib,NSCLC commercial benchmark,Solid-tumor oncology,NSCLC,,2031,2031,projected,9539,0.019995722840034258,2026E annualizes H1 2026. Thereafter an illustrative slowing-growth curve is followed by modeled erosion beginning at the earliest disclosed 2032 exclusivity date.,Disclosed minimum exclusivity dates: US/China/EU 2032 and 2035; Japan 2034 and 2035. The scenario applies a cliff from 2032.,2032: Earliest disclosed LOE | 2035: Later patent layer,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
TAGRISSO,AstraZeneca,Tagrisso,osimertinib,NSCLC commercial benchmark,Solid-tumor oncology,NSCLC,,2032,2032,projected,7631,-0.20002096655833945,2026E annualizes H1 2026. Thereafter an illustrative slowing-growth curve is followed by modeled erosion beginning at the earliest disclosed 2032 exclusivity date.,Disclosed minimum exclusivity dates: US/China/EU 2032 and 2035; Japan 2034 and 2035. The scenario applies a cliff from 2032.,2032: Earliest disclosed LOE | 2035: Later patent layer,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
TAGRISSO,AstraZeneca,Tagrisso,osimertinib,NSCLC commercial benchmark,Solid-tumor oncology,NSCLC,,2033,2033,projected,4579,-0.3999475822303761,2026E annualizes H1 2026. Thereafter an illustrative slowing-growth curve is followed by modeled erosion beginning at the earliest disclosed 2032 exclusivity date.,Disclosed minimum exclusivity dates: US/China/EU 2032 and 2035; Japan 2034 and 2035. The scenario applies a cliff from 2032.,2032: Earliest disclosed LOE | 2035: Later patent layer,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
IMFINZI,AstraZeneca,Imfinzi,durvalumab,Marketed combination backbone,Solid-tumor oncology,NSCLC | Immuno-oncology,IPH5201,2023,2023,reported,4019,,"2026E annualizes H1 2026. The scenario assumes continued indication growth through 2029, then erosion as disclosed EU/China and US exclusivity dates arrive.","Disclosed minimum exclusivity dates: China/EU 2030, US 2031 and Japan 2033. The scenario applies erosion from 2030.",2030: EU/China LOE | 2031: US LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
IMFINZI,AstraZeneca,Imfinzi,durvalumab,Marketed combination backbone,Solid-tumor oncology,NSCLC | Immuno-oncology,IPH5201,2024,2024,reported,4717,0.17367504354316998,"2026E annualizes H1 2026. The scenario assumes continued indication growth through 2029, then erosion as disclosed EU/China and US exclusivity dates arrive.","Disclosed minimum exclusivity dates: China/EU 2030, US 2031 and Japan 2033. The scenario applies erosion from 2030.",2030: EU/China LOE | 2031: US LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
IMFINZI,AstraZeneca,Imfinzi,durvalumab,Marketed combination backbone,Solid-tumor oncology,NSCLC | Immuno-oncology,IPH5201,2025,2025,reported,6063,0.2853508585965656,"2026E annualizes H1 2026. The scenario assumes continued indication growth through 2029, then erosion as disclosed EU/China and US exclusivity dates arrive.","Disclosed minimum exclusivity dates: China/EU 2030, US 2031 and Japan 2033. The scenario applies erosion from 2030.",2030: EU/China LOE | 2031: US LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
IMFINZI,AstraZeneca,Imfinzi,durvalumab,Marketed combination backbone,Solid-tumor oncology,NSCLC | Immuno-oncology,IPH5201,2026E,2026,projected,7096,0.17037770080818082,"2026E annualizes H1 2026. The scenario assumes continued indication growth through 2029, then erosion as disclosed EU/China and US exclusivity dates arrive.","Disclosed minimum exclusivity dates: China/EU 2030, US 2031 and Japan 2033. The scenario applies erosion from 2030.",2030: EU/China LOE | 2031: US LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
IMFINZI,AstraZeneca,Imfinzi,durvalumab,Marketed combination backbone,Solid-tumor oncology,NSCLC | Immuno-oncology,IPH5201,2027,2027,projected,8160,0.1499436302142052,"2026E annualizes H1 2026. The scenario assumes continued indication growth through 2029, then erosion as disclosed EU/China and US exclusivity dates arrive.","Disclosed minimum exclusivity dates: China/EU 2030, US 2031 and Japan 2033. The scenario applies erosion from 2030.",2030: EU/China LOE | 2031: US LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
IMFINZI,AstraZeneca,Imfinzi,durvalumab,Marketed combination backbone,Solid-tumor oncology,NSCLC | Immuno-oncology,IPH5201,2028,2028,projected,9180,0.125,"2026E annualizes H1 2026. The scenario assumes continued indication growth through 2029, then erosion as disclosed EU/China and US exclusivity dates arrive.","Disclosed minimum exclusivity dates: China/EU 2030, US 2031 and Japan 2033. The scenario applies erosion from 2030.",2030: EU/China LOE | 2031: US LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
IMFINZI,AstraZeneca,Imfinzi,durvalumab,Marketed combination backbone,Solid-tumor oncology,NSCLC | Immuno-oncology,IPH5201,2029,2029,projected,10098,0.10000000000000009,"2026E annualizes H1 2026. The scenario assumes continued indication growth through 2029, then erosion as disclosed EU/China and US exclusivity dates arrive.","Disclosed minimum exclusivity dates: China/EU 2030, US 2031 and Japan 2033. The scenario applies erosion from 2030.",2030: EU/China LOE | 2031: US LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
IMFINZI,AstraZeneca,Imfinzi,durvalumab,Marketed combination backbone,Solid-tumor oncology,NSCLC | Immuno-oncology,IPH5201,2030,2030,projected,9088,-0.10001980590215886,"2026E annualizes H1 2026. The scenario assumes continued indication growth through 2029, then erosion as disclosed EU/China and US exclusivity dates arrive.","Disclosed minimum exclusivity dates: China/EU 2030, US 2031 and Japan 2033. The scenario applies erosion from 2030.",2030: EU/China LOE | 2031: US LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
IMFINZI,AstraZeneca,Imfinzi,durvalumab,Marketed combination backbone,Solid-tumor oncology,NSCLC | Immuno-oncology,IPH5201,2031,2031,projected,6816,-0.25,"2026E annualizes H1 2026. The scenario assumes continued indication growth through 2029, then erosion as disclosed EU/China and US exclusivity dates arrive.","Disclosed minimum exclusivity dates: China/EU 2030, US 2031 and Japan 2033. The scenario applies erosion from 2030.",2030: EU/China LOE | 2031: US LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
IMFINZI,AstraZeneca,Imfinzi,durvalumab,Marketed combination backbone,Solid-tumor oncology,NSCLC | Immuno-oncology,IPH5201,2032,2032,projected,5453,-0.19997065727699526,"2026E annualizes H1 2026. The scenario assumes continued indication growth through 2029, then erosion as disclosed EU/China and US exclusivity dates arrive.","Disclosed minimum exclusivity dates: China/EU 2030, US 2031 and Japan 2033. The scenario applies erosion from 2030.",2030: EU/China LOE | 2031: US LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
FARXIGA,AstraZeneca,Farxiga / Forxiga,dapagliflozin,Marketed component in investigational combinations,Renal & metabolic | Cardiovascular,Heart failure | CKD / proteinuria,balcinrenone / dapagliflozin | zibotentan / dapagliflozin,2023,2023,reported,5963,,2026E annualizes H1 2026. The decline curve explicitly reflects the US loss of exclusivity reported in 2026 and the disclosed 2027 EU date.,"US loss of exclusivity is already affecting 2026 results; the disclosed EU date is 2027, with additional regional patent layers extending later.",2026: US LOE / erosion begins | 2027: EU LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
FARXIGA,AstraZeneca,Farxiga / Forxiga,dapagliflozin,Marketed component in investigational combinations,Renal & metabolic | Cardiovascular,Heart failure | CKD / proteinuria,balcinrenone / dapagliflozin | zibotentan / dapagliflozin,2024,2024,reported,7656,0.28391749119570675,2026E annualizes H1 2026. The decline curve explicitly reflects the US loss of exclusivity reported in 2026 and the disclosed 2027 EU date.,"US loss of exclusivity is already affecting 2026 results; the disclosed EU date is 2027, with additional regional patent layers extending later.",2026: US LOE / erosion begins | 2027: EU LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
FARXIGA,AstraZeneca,Farxiga / Forxiga,dapagliflozin,Marketed component in investigational combinations,Renal & metabolic | Cardiovascular,Heart failure | CKD / proteinuria,balcinrenone / dapagliflozin | zibotentan / dapagliflozin,2025,2025,reported,8492,0.10919540229885061,2026E annualizes H1 2026. The decline curve explicitly reflects the US loss of exclusivity reported in 2026 and the disclosed 2027 EU date.,"US loss of exclusivity is already affecting 2026 results; the disclosed EU date is 2027, with additional regional patent layers extending later.",2026: US LOE / erosion begins | 2027: EU LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
FARXIGA,AstraZeneca,Farxiga / Forxiga,dapagliflozin,Marketed component in investigational combinations,Renal & metabolic | Cardiovascular,Heart failure | CKD / proteinuria,balcinrenone / dapagliflozin | zibotentan / dapagliflozin,2026E,2026,projected,7996,-0.05840791333019313,2026E annualizes H1 2026. The decline curve explicitly reflects the US loss of exclusivity reported in 2026 and the disclosed 2027 EU date.,"US loss of exclusivity is already affecting 2026 results; the disclosed EU date is 2027, with additional regional patent layers extending later.",2026: US LOE / erosion begins | 2027: EU LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
FARXIGA,AstraZeneca,Farxiga / Forxiga,dapagliflozin,Marketed component in investigational combinations,Renal & metabolic | Cardiovascular,Heart failure | CKD / proteinuria,balcinrenone / dapagliflozin | zibotentan / dapagliflozin,2027,2027,projected,7196,-0.10005002501250626,2026E annualizes H1 2026. The decline curve explicitly reflects the US loss of exclusivity reported in 2026 and the disclosed 2027 EU date.,"US loss of exclusivity is already affecting 2026 results; the disclosed EU date is 2027, with additional regional patent layers extending later.",2026: US LOE / erosion begins | 2027: EU LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
FARXIGA,AstraZeneca,Farxiga / Forxiga,dapagliflozin,Marketed component in investigational combinations,Renal & metabolic | Cardiovascular,Heart failure | CKD / proteinuria,balcinrenone / dapagliflozin | zibotentan / dapagliflozin,2028,2028,projected,6476,-0.10005558643690937,2026E annualizes H1 2026. The decline curve explicitly reflects the US loss of exclusivity reported in 2026 and the disclosed 2027 EU date.,"US loss of exclusivity is already affecting 2026 results; the disclosed EU date is 2027, with additional regional patent layers extending later.",2026: US LOE / erosion begins | 2027: EU LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
FARXIGA,AstraZeneca,Farxiga / Forxiga,dapagliflozin,Marketed component in investigational combinations,Renal & metabolic | Cardiovascular,Heart failure | CKD / proteinuria,balcinrenone / dapagliflozin | zibotentan / dapagliflozin,2029,2029,projected,5893,-0.09002470660901796,2026E annualizes H1 2026. The decline curve explicitly reflects the US loss of exclusivity reported in 2026 and the disclosed 2027 EU date.,"US loss of exclusivity is already affecting 2026 results; the disclosed EU date is 2027, with additional regional patent layers extending later.",2026: US LOE / erosion begins | 2027: EU LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
FARXIGA,AstraZeneca,Farxiga / Forxiga,dapagliflozin,Marketed component in investigational combinations,Renal & metabolic | Cardiovascular,Heart failure | CKD / proteinuria,balcinrenone / dapagliflozin | zibotentan / dapagliflozin,2030,2030,projected,5481,-0.06991345664347526,2026E annualizes H1 2026. The decline curve explicitly reflects the US loss of exclusivity reported in 2026 and the disclosed 2027 EU date.,"US loss of exclusivity is already affecting 2026 results; the disclosed EU date is 2027, with additional regional patent layers extending later.",2026: US LOE / erosion begins | 2027: EU LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
FARXIGA,AstraZeneca,Farxiga / Forxiga,dapagliflozin,Marketed component in investigational combinations,Renal & metabolic | Cardiovascular,Heart failure | CKD / proteinuria,balcinrenone / dapagliflozin | zibotentan / dapagliflozin,2031,2031,projected,5207,-0.049990877577084425,2026E annualizes H1 2026. The decline curve explicitly reflects the US loss of exclusivity reported in 2026 and the disclosed 2027 EU date.,"US loss of exclusivity is already affecting 2026 results; the disclosed EU date is 2027, with additional regional patent layers extending later.",2026: US LOE / erosion begins | 2027: EU LOE,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm | https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
OPDIVO_FRANCHISE,Bristol Myers Squibb,Opdivo franchise,nivolumab; includes Opdivo Qvantig from 2025,Marketed component / IO franchise,Solid-tumor oncology,NSCLC | Immuno-oncology,atigotatug + nivolumab | nivolumab + relatlimab HD,2023,2023,reported,9009,,"2026E annualizes H1 2026 Opdivo plus Opdivo Qvantig. The scenario then applies material erosion at the disclosed US, EU and Japan exclusivity dates.","Disclosed minimum exclusivity dates for Opdivo: US 2028, EU 2030 and Japan 2031. The scenario applies sequential regional erosion.",2028: US LOE | 2030: EU LOE | 2031: Japan LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
