company,sourceTherapeuticArea,diseaseArea,program,stage,modality,representativeIndications,snapshotDate,sourceUrl,notes,trialId,trialName,trialStage,overlapIndication,potentialLaunchIndication,clinicalSetting,primaryCompletion,launchLagLowYears,launchLagHighYears,illustrativeLaunchWindow,historicalSales,trialUrl,detailNote,matrixModalityFamily,matrixIndications,brandName,brandRelationship,marketedStatus,salesTrendIds,brandSourceUrl
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",tozorakimab,Phase III,IL-33 monoclonal antibody,COPD and severe viral lower respiratory tract disease,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,,Monoclonal / bispecific antibody,"['COPD', 'Severe viral LRTD']",,,,[],
AstraZeneca,CVRM,Cardiovascular,AZD5462,Phase II,RXFP1 agonist,Heart failure,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,NCT06299826,LUMINARA,Phase IIb,Heart failure,Chronic heart failure,Stable chronic heart failure; mechanism-focused proof of concept,2026-02-10,3,5,2029-2031,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06299826,Phase IIb; no pivotal launch assumption is implied.,Small molecule / oral therapy,['Heart failure'],,,,[],
AstraZeneca,CVRM,Cardiovascular,baxdrostat,Phase III / registration,Aldosterone synthase inhibitor,Hypertension and primary aldosteronism,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Programs with dapagliflozin counted once under baxdrostat.,,,Phase III / registration,,,,,,,Not estimated,Baxfendy: $3M H1 2026 product revenue (new launch),,,Small molecule / oral therapy,['Hypertension / aldosteronism'],Baxfendy,"Approved brand for baxdrostat (US, 2026)",Launched in the US after the February 2026 pipeline snapshot,['BAXFENDY'],https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
AstraZeneca,CVRM,Cardiovascular,laroprovstat,Phase III,PCSK9 inhibitor,Dyslipidemia,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,,Other targeted therapy,['Dyslipidemia'],,,,[],
AstraZeneca,CVRM,Renal & metabolic,AZD2389,Phase II,Anti-fibrotic mechanism,Metabolic dysfunction-associated steatohepatitis,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Other targeted / RNA,['MASH'],,,,[],
AstraZeneca,CVRM,Renal & metabolic,AZD6234,Phase II,Peptide therapy,Chronic weight management,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Peptide / incretin,['Obesity / weight management'],,,,[],
AstraZeneca,CVRM,Renal & metabolic,AZD9550 + AZD6234,Phase II,GLP-1/glucagon dual agonist plus amylin agonist,Obesity,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Two-investigational-asset combination counted as one disclosed program.,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Combination therapy,['Obesity / weight management'],,,,[],
AstraZeneca,CVRM,Renal & metabolic,balcinrenone / dapagliflozin,Phase III,Mineralocorticoid receptor modulator plus SGLT2 inhibitor,CKD and heart failure with CKD,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Combination not launched; Farxiga/Forxiga generated $8.5B in 2025,,,Combination therapy,"['CKD / proteinuria', 'HF with CKD']",Farxiga / Forxiga,Marketed component: dapagliflozin,Combination remains investigational; dapagliflozin is marketed,['FARXIGA'],https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
AstraZeneca,CVRM,Renal & metabolic,elecoglipron (AZD5004),Phase II,Oral GLP-1 receptor agonist,Type 2 diabetes and chronic weight management,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Oral small molecule,"['Type 2 diabetes', 'Obesity / weight management']",,,,[],
AstraZeneca,CVRM,Renal & metabolic,opemalirsen,Phase II,Podocyte-health therapeutic,Nephropathy,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Other targeted / RNA,['Nephropathy'],,,,[],
AstraZeneca,CVRM,Renal & metabolic,zibotentan / dapagliflozin,Phase III,Endothelin-A receptor antagonist plus SGLT2 inhibitor,CKD with high proteinuria,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Combination not launched; Farxiga/Forxiga generated $8.5B in 2025,,,Combination therapy,['CKD / proteinuria'],Farxiga / Forxiga,Marketed component: dapagliflozin,Combination remains investigational; dapagliflozin is marketed,['FARXIGA'],https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
AstraZeneca,Rare Disease,Rare disease,ALXN1920,Phase II,Kidney-targeted factor H fusion protein,Primary membranous nephropathy,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Protein / fusion therapeutic,['Primary membranous nephropathy'],,,,[],
AstraZeneca,Rare Disease,Rare disease,ALXN2030,Phase II,Complement C3-targeting siRNA,Antibody-mediated rejection,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,RNA / siRNA,['Antibody-mediated rejection'],,,,[],
AstraZeneca,Rare Disease,Rare disease,ALXN2420,Phase II,Growth hormone receptor antagonist,Acromegaly,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Peptide / receptor agonist-antagonist,['Acromegaly'],,,,[],
AstraZeneca,Rare Disease,Rare disease,tarperprumig,Phase II,Kinase inhibitor,ANCA-associated vasculitis,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Small molecule / kinase inhibitor,['ANCA vasculitis'],,,,[],
AstraZeneca,Rare Disease,Rare disease,anselamimab,Phase III / registration,Fibril-reactive monoclonal antibody,AL amyloidosis,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III / registration,,,,,,,Not estimated,Not launched - no historical sales,,,mAb / nanobody,['AL amyloidosis'],,,,[],
AstraZeneca,Rare Disease,Rare disease,cliramitug,Phase III,Transthyretin depleter,Transthyretin amyloid cardiomyopathy,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,,mAb / nanobody,['ATTR-CM'],,,,[],
AstraZeneca,Rare Disease,Rare disease,efzimfotase alfa,Phase III,Next-generation TNSALP enzyme replacement therapy,Hypophosphatasia,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,,Enzyme replacement,['Hypophosphatasia'],,,,[],
AstraZeneca,Rare Disease,Rare disease,eneboparatide,Phase III,Parathyroid hormone receptor 1 agonist,Hypoparathyroidism,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,,Peptide / receptor agonist-antagonist,['Hypoparathyroidism'],,,,[],
AstraZeneca,Rare Disease,Rare disease,gefurulimab,Phase III / registration,Dual-binding anti-C5 nanobody,Generalized myasthenia gravis,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III / registration,,,,,,,Not estimated,Not launched - no historical sales,,,mAb / nanobody,['gMG'],,,,[],
AstraZeneca,Vaccines & Immune Therapies,Infectious disease,AZD0292,Phase II,Pseudomonas Psl/PcrV bispecific antibody,Bronchiectasis,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Bispecific antibody,['Bronchiectasis / Pseudomonas'],,,,[],
AstraZeneca,Vaccines & Immune Therapies,Infectious disease,AZD5148,Phase II,C. difficile TcdB monoclonal antibody,Reduction of C. difficile recurrence,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Monoclonal antibody,['C. difficile recurrence'],,,,[],
AstraZeneca,Vaccines & Immune Therapies,Infectious disease,AZD7760,Phase II,Anti-virulence monoclonal antibody combination,Prevention of Staphylococcus aureus infection,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Antibody combination,['S. aureus prevention'],,,,[],
Bristol Myers Squibb,Oncology,Solid-tumor oncology,pumitamig,Phase III,PD-L1 x VEGF-A bispecific antibody,"NSCLC, ES-SCLC, TNBC and other solid tumors",2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,Multiple indications counted once under the lead asset.,NCT07361510,ROSETTA Lung-202,Phase III,NSCLC,"Advanced NSCLC, PD-L1 >=50%",First-line monotherapy versus pembrolizumab,2031-10-14,1,2,2032-2033,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT07361510,Representative Phase III study; later timing reflects the currently posted trial schedule.,Bispecific / dual-target antibody,"['NSCLC', 'SCLC', 'Breast cancer', 'Other solid tumors']",,,,[],
Bristol Myers Squibb,Oncology,Solid-tumor oncology,izalontamab brengitecan (iza-bren),Phase II,EGFR x HER3 bispecific antibody-drug conjugate,"TNBC, EGFR-mutated NSCLC and urothelial cancer",2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT07100080,IZABRIGHT-Lung01,Phase II/III,NSCLC,EGFR-mutated NSCLC after EGFR-TKI failure,Post-EGFR TKI; compared with platinum-pemetrexed,2028-12-15,1,3,2029-2031,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT07100080,Phase II/III design.,Antibody-drug conjugate,"['NSCLC', 'Breast cancer', 'Urothelial cancer']",,,,[],
Bristol Myers Squibb,Oncology,Solid-tumor oncology,navlimetostat,Phase II,PRMT5 inhibitor,"NSCLC, pancreatic cancer and other solid tumors",2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT06855771,MountainTAP-9,Phase II,NSCLC,MTAP-deleted advanced or metastatic NSCLC,Previously treated; after progression on prior therapies,2028-12-29,3,5,2031-2033,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06855771,Phase II; a registrational path is not assumed.,Small molecule / targeted degradation,"['NSCLC', 'Pancreatic cancer', 'Other solid tumors']",,,,[],
Bristol Myers Squibb,Oncology,Solid-tumor oncology,AR ligand-directed degrader,Phase III,Androgen receptor ligand-directed degrader,Metastatic castration-resistant prostate cancer,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT06764485,rechARge,Phase III,Prostate cancer,Metastatic castration-resistant prostate cancer,After prior androgen-receptor pathway inhibitor; versus docetaxel or second ARPI,2027-09-12,1,2,2028-2029,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06764485,Program is also known as BMS-986365.,Small molecule / targeted degradation,['Prostate cancer'],,,,[],
Bristol Myers Squibb,Oncology,Solid-tumor oncology,atigotatug + nivolumab,Phase III,Investigational immuno-oncology combination,First-line extensive-stage small-cell lung cancer,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,,,Phase III,,,,,,,Not estimated,Combination not launched; Opdivo franchise generated $10.3B in 2025,,,mAb / IO combination,['SCLC'],Opdivo / Opdivo Qvantig,Marketed component: nivolumab,Atigotatug combination remains investigational; nivolumab is marketed,['OPDIVO_FRANCHISE'],https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm
Bristol Myers Squibb,Oncology,Solid-tumor oncology,nivolumab + relatlimab HD,Phase III,PD-1 plus LAG-3 immuno-oncology combination,First-line NSCLC with PD-L1 >=1%,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT06561386,RELATIVITY-1093,Phase III,NSCLC,"Stage IV/recurrent nonsquamous NSCLC, PD-L1 >=1%",First-line; nivolumab-relatlimab fixed dose plus chemotherapy,2030-07-30,1,2,2031-2032,Investigational regimen not launched; Opdualag generated $1.2B in 2025,https://clinicaltrials.gov/study/NCT06561386,Potential label expansion of an approved combination; counted here as an investigational program in the matched snapshot.,mAb / IO combination,['NSCLC'],Opdualag,Related marketed fixed-dose combination: nivolumab + relatlimab,Higher-dose / chemotherapy regimen remains investigational,"['OPDUALAG', 'OPDIVO_FRANCHISE']",https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm
Bristol Myers Squibb,Oncology,Solid-tumor oncology,RYZ101,Phase III,SSTR2-targeted radiopharmaceutical,SSTR2-positive gastroenteropancreatic neuroendocrine tumors,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,,Radiopharmaceutical,['GEP-NET'],,,,[],
Bristol Myers Squibb,Hematology,Hematology,arlo-cel,Phase III,GPRC5D-directed autologous CAR-T,Multiple myeloma,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT06615479,QUINTESSENTIAL-2,Phase III,Multiple myeloma,"Relapsed/refractory, lenalidomide-exposed multiple myeloma",Relapsed/refractory setting; versus standard regimens,2027-12-30,1,2,2028-2029,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06615479,GPRC5D-directed CAR-T; program also has a later-line Phase II study.,CAR-T,['Multiple myeloma'],,,,[],
Bristol Myers Squibb,Hematology,Hematology,golcadomide,Phase III,CELMoD / targeted protein degradation,Follicular lymphoma and high-risk large B-cell lymphoma,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT06356129,GOLSEEK-1,Phase III,B-cell lymphoma,Previously untreated high-risk large B-cell lymphoma,First-line; golcadomide plus R-CHOP,2028-08-14,1,2,2029-2030,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06356129,Representative Phase III study; additional follicular lymphoma work is underway.,Targeted protein degradation / CELMoD,['B-cell lymphoma'],,,,[],
