diseaseArea,factor,unit,directness,rationale,azSourceUrl,bmsSourceUrl,azPrograms,bmsPrograms,id,cellId
Hematology,Shared indications,Multiple myeloma,3,Both companies have multiple late-stage programs in multiple myeloma.,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['AZD0120', 'AZD0305']","['arlo-cel', 'iberdomide', 'mezigdomide']",hematology--shared-indications--multiple-myeloma,hematology--shared-indications
Hematology,Shared indications,B-cell lymphoma,3,Both have Phase III programs in B-cell lymphoma territories.,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,['surovatamig'],['golcadomide'],hematology--shared-indications--b-cell-lymphoma,hematology--shared-indications
Hematology,Shared modalities,Cell therapy / CAR-T,3,"Both have autologous CAR-T programs in multiple myeloma, with different target configurations.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,['AZD0120'],['arlo-cel'],hematology--shared-modalities--cell-therapy-car-t,hematology--shared-modalities
Hematology,Shared modalities,Small-molecule targeted therapy,2,"Both use small-molecule targeted approaches, but mechanisms and disease emphasis differ.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,['AZD3470'],"['golcadomide', 'iberdomide', 'mezigdomide']",hematology--shared-modalities--small-molecule-targeted-therapy,hematology--shared-modalities
Hematology,Shared target / mechanism,GPRC5D,3,This is the clearest exact target overlap: an ADC versus CAR-T directed to GPRC5D.,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,['AZD0305'],['arlo-cel'],hematology--shared-target-mechanism--gprc5d,hematology--shared-target-mechanism
Hematology,Stage alignment,Phase III / registration,2,"Both have Phase III/registration programs, though BMS is more concentrated at this stage.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,['surovatamig'],"['arlo-cel', 'golcadomide', 'iberdomide', 'mezigdomide']",hematology--stage-alignment--phase-iii-registration,hematology--stage-alignment
"Immunology, respiratory & fibrosis",Shared modalities,Small-molecule therapy,1,"Both use small molecules, but the diseases and mechanisms are largely different.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['atuliflapon', 'AZD4604', 'AZD6793']",['admilparant'],immunology-respiratory-and-fibrosis--shared-modalities--small-molecule-therapy,immunology-respiratory-and-fibrosis--shared-modalities
"Immunology, respiratory & fibrosis",Shared modalities,Monoclonal antibodies / biologics,1,"Both have biologics, but with different disease and target focus.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['AZD1163', 'AZD7798', 'AZD8630', 'tozorakimab']",['obexelimab'],immunology-respiratory-and-fibrosis--shared-modalities--monoclonal-antibodies-biologics,immunology-respiratory-and-fibrosis--shared-modalities
"Immunology, respiratory & fibrosis",Stage alignment,Phase III / registration,1,"Both have Phase III programs, without a clear same-indication collision.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,['tozorakimab'],"['zola-cel', 'admilparant', 'obexelimab']",immunology-respiratory-and-fibrosis--stage-alignment--phase-iii-registration,immunology-respiratory-and-fibrosis--stage-alignment
Cardiovascular,Shared indications,Heart failure,2,"Both have Phase II heart-failure programs, with different mechanisms.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,['AZD5462'],['MYK-224'],cardiovascular--shared-indications--heart-failure,cardiovascular--shared-indications
Cardiovascular,Shared modalities,Small-molecule therapy,1,"Both portfolios are primarily small-molecule programs, but disease and target overlap is limited.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['AZD5462', 'baxdrostat', 'laroprovstat']","['MYK-224', 'milvexian']",cardiovascular--shared-modalities--small-molecule-therapy,cardiovascular--shared-modalities
Cardiovascular,Stage alignment,Phase II,2,The heart-failure programs are both in Phase II.,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,['AZD5462'],['MYK-224'],cardiovascular--stage-alignment--phase-ii,cardiovascular--stage-alignment
Cardiovascular,Stage alignment,Phase III / registration,1,"Both have Phase III programs, but in different cardiovascular indications.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['baxdrostat', 'laroprovstat']",['milvexian'],cardiovascular--stage-alignment--phase-iii-registration,cardiovascular--stage-alignment
