company,diseaseArea,program,modalityFamily,indicationTerritory,sourceUrl
AstraZeneca,Solid-tumor oncology,rilvegostomig,Bispecific / dual-target antibody,NSCLC,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Solid-tumor oncology,volrustomig,Bispecific / dual-target antibody,NSCLC,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Solid-tumor oncology,pumitamig,Bispecific / dual-target antibody,NSCLC,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Solid-tumor oncology,rilvegostomig,Bispecific / dual-target antibody,Other solid tumors,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Solid-tumor oncology,volrustomig,Bispecific / dual-target antibody,Other solid tumors,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Solid-tumor oncology,pumitamig,Bispecific / dual-target antibody,Other solid tumors,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
Bristol Myers Squibb,Solid-tumor oncology,pumitamig,Bispecific / dual-target antibody,SCLC,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
Bristol Myers Squibb,Solid-tumor oncology,RYZ101,Radiopharmaceutical,GEP-NET,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Solid-tumor oncology,FPI-2265,Radiopharmaceutical,Prostate cancer,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Solid-tumor oncology,camizestrant,Small molecule / targeted degradation,Breast cancer,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Solid-tumor oncology,saruparib,Small molecule / targeted degradation,Breast cancer,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Solid-tumor oncology,navlimetostat,Small molecule / targeted degradation,NSCLC,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Solid-tumor oncology,AZD9574,Small molecule / targeted degradation,Other solid tumors,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Solid-tumor oncology,navlimetostat,Small molecule / targeted degradation,Other solid tumors,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
Bristol Myers Squibb,Solid-tumor oncology,navlimetostat,Small molecule / targeted degradation,Pancreatic cancer,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Solid-tumor oncology,saruparib,Small molecule / targeted degradation,Prostate cancer,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Solid-tumor oncology,AR ligand-directed degrader,Small molecule / targeted degradation,Prostate cancer,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Solid-tumor oncology,IPH5201,mAb / IO combination,NSCLC,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Solid-tumor oncology,nivolumab + relatlimab HD,mAb / IO combination,NSCLC,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
Bristol Myers Squibb,Solid-tumor oncology,atigotatug + nivolumab,mAb / IO combination,SCLC,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Hematology,AZD0305,Antibody-drug conjugate,Multiple myeloma,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Hematology,AZD0120,CAR-T,Multiple myeloma,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Hematology,arlo-cel,CAR-T,Multiple myeloma,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Hematology,AZD3470,Small molecule,Hodgkin lymphoma,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Hematology,surovatamig,T-cell engager,B-ALL,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Hematology,surovatamig,T-cell engager,B-cell lymphoma,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Hematology,golcadomide,Targeted protein degradation / CELMoD,B-cell lymphoma,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
Bristol Myers Squibb,Hematology,iberdomide,Targeted protein degradation / CELMoD,Multiple myeloma,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
Bristol Myers Squibb,Hematology,mezigdomide,Targeted protein degradation / CELMoD,Multiple myeloma,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
Bristol Myers Squibb,"Immunology, respiratory & fibrosis",zola-cel (CD19 NEX-T),CAR-T,SLE / systemic sclerosis,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,"Immunology, respiratory & fibrosis",AZD8630,Inhaled biologic,Asthma,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,"Immunology, respiratory & fibrosis",AZD4604,Inhaled small molecule,Asthma,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,"Immunology, respiratory & fibrosis",tozorakimab,Monoclonal / bispecific antibody,COPD,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,"Immunology, respiratory & fibrosis",AZD7798,Monoclonal / bispecific antibody,Crohn's disease,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,"Immunology, respiratory & fibrosis",obexelimab,Monoclonal / bispecific antibody,IgG4-related disease,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,"Immunology, respiratory & fibrosis",AZD1163,Monoclonal / bispecific antibody,Rheumatoid arthritis,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,"Immunology, respiratory & fibrosis",tozorakimab,Monoclonal / bispecific antibody,Severe viral LRTD,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,"Immunology, respiratory & fibrosis",atuliflapon,Oral / systemic small molecule,Asthma,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,"Immunology, respiratory & fibrosis",AZD6793,Oral / systemic small molecule,COPD,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,"Immunology, respiratory & fibrosis",admilparant,Oral / systemic small molecule,Pulmonary fibrosis,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Cardiovascular,laroprovstat,Other targeted therapy,Dyslipidemia,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Cardiovascular,milvexian,Small molecule / oral therapy,AF / stroke prevention,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Cardiovascular,AZD5462,Small molecule / oral therapy,Heart failure,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Cardiovascular,MYK-224,Small molecule / oral therapy,Heart failure,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Cardiovascular,baxdrostat,Small molecule / oral therapy,Hypertension / aldosteronism,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Rare disease,efzimfotase alfa,Enzyme replacement,Hypophosphatasia,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Rare disease,ALXN2420,Peptide / receptor agonist-antagonist,Acromegaly,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Rare disease,eneboparatide,Peptide / receptor agonist-antagonist,Hypoparathyroidism,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Rare disease,ALXN1920,Protein / fusion therapeutic,Primary membranous nephropathy,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Rare disease,ALXN2030,RNA / siRNA,Antibody-mediated rejection,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Rare disease,tarperprumig,Small molecule / kinase inhibitor,ANCA vasculitis,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Rare disease,anselamimab,mAb / nanobody,AL amyloidosis,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Rare disease,cliramitug,mAb / nanobody,ATTR-CM,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Rare disease,gefurulimab,mAb / nanobody,gMG,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Renal & metabolic,balcinrenone / dapagliflozin,Combination therapy,CKD / proteinuria,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Renal & metabolic,zibotentan / dapagliflozin,Combination therapy,CKD / proteinuria,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Renal & metabolic,balcinrenone / dapagliflozin,Combination therapy,HF with CKD,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Renal & metabolic,AZD9550 + AZD6234,Combination therapy,Obesity / weight management,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Renal & metabolic,elecoglipron (AZD5004),Oral small molecule,Obesity / weight management,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Renal & metabolic,elecoglipron (AZD5004),Oral small molecule,Type 2 diabetes,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Renal & metabolic,AZD2389,Other targeted / RNA,MASH,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Renal & metabolic,opemalirsen,Other targeted / RNA,Nephropathy,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Renal & metabolic,AZD6234,Peptide / incretin,Obesity / weight management,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Infectious disease,AZD7760,Antibody combination,S. aureus prevention,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Infectious disease,AZD0292,Bispecific antibody,Bronchiectasis / Pseudomonas,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Infectious disease,AZD5148,Monoclonal antibody,C. difficile recurrence,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Neuroscience,anti-MTBR tau,Monoclonal antibody,Alzheimer's disease,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
Bristol Myers Squibb,Neuroscience,FAAH/MAGL dual inhibitor,Small molecule,AD agitation,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
Bristol Myers Squibb,Neuroscience,FAAH/MAGL dual inhibitor,Small molecule,MS spasticity,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
