company,sourceTherapeuticArea,diseaseArea,program,stage,modality,representativeIndications,snapshotDate,sourceUrl,notes,trialId,trialName,trialStage,overlapIndication,potentialLaunchIndication,clinicalSetting,primaryCompletion,launchLagLowYears,launchLagHighYears,illustrativeLaunchWindow,historicalSales,trialUrl,detailNote
AstraZeneca,Oncology,Solid-tumor oncology,volrustomig,Phase III,PD-1/CTLA-4 bispecific antibody,"NSCLC, cervical, head and neck, colorectal and mesothelioma",2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Multiple indications counted once under the lead asset.,NCT05984277,eVOLVE-Lung02,Phase III,NSCLC,"Metastatic NSCLC, PD-L1 <50%",First-line; volrustomig plus histology-specific chemotherapy,2028-04-24,1,2,2029-2030,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT05984277,Representative pivotal study.
AstraZeneca,Oncology,Hematology,AZD0120,Phase II,CD19/BCMA CAR-T,Multiple myeloma,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,NCT05850234,DURGA-1,Phase Ib/II,Multiple myeloma,Relapsed/refractory multiple myeloma,At least three prior lines; CD19/BCMA dual CAR-T,2027-08-31,4,6,2031-2033,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT05850234,Early-stage CAR-T program; launch window is highly uncertain.
AstraZeneca,Oncology,Hematology,AZD0305,Phase II,GPRC5D MMAE antibody-drug conjugate,Relapsed/refractory multiple myeloma,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,NCT06106945,Modular Phase I/II study,Phase I/II,Multiple myeloma,Multiple myeloma,Monotherapy and combination dose escalation/expansion,2027-08-16,4,6,2031-2033,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06106945,GPRC5D ADC; launch window is highly uncertain.
AstraZeneca,Oncology,Hematology,AZD3470,Phase II,PRMT5 inhibitor,Classical Hodgkin lymphoma; also early solid-tumor work,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Classified to hematology based on the disclosed Phase II indication.,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Oncology,Hematology,surovatamig,Phase III,CD19/CD3 T-cell engager,"B-cell malignancies including DLBCL, follicular lymphoma and B-ALL",2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Multiple indications counted once under the lead asset.,NCT06549595,SOUNDTRACK-F1,Phase III,B-cell lymphoma,Previously untreated follicular lymphoma,First-line; surovatamig plus rituximab versus chemoimmunotherapy,2031-11-26,1,2,2032-2033,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06549595,Representative pivotal study in the B-cell lymphoma territory.
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",atuliflapon,Phase II,FLAP inhibitor,Asthma,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",AZD1163,Phase II,PAD2/4 bispecific antibody,Rheumatoid arthritis,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",AZD4604,Phase II,Inhaled JAK1 inhibitor,Asthma,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",AZD6793,Phase II,IRAK4 inhibitor,COPD,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",AZD7798,Phase II,T-cell-subset-targeting monoclonal antibody,Crohn's disease,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",AZD8630,Phase II,Inhaled TSLP Fab,Asthma,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",tozorakimab,Phase III,IL-33 monoclonal antibody,COPD and severe viral lower respiratory tract disease,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,CVRM,Cardiovascular,AZD5462,Phase II,RXFP1 agonist,Heart failure,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,NCT06299826,LUMINARA,Phase IIb,Heart failure,Chronic heart failure,Stable chronic heart failure; mechanism-focused proof of concept,2026-02-10,3,5,2029-2031,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06299826,Phase IIb; no pivotal launch assumption is implied.
AstraZeneca,CVRM,Cardiovascular,baxdrostat,Phase III / registration,Aldosterone synthase inhibitor,Hypertension and primary aldosteronism,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Programs with dapagliflozin counted once under baxdrostat.,,,Phase III / registration,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,CVRM,Cardiovascular,laroprovstat,Phase III,PCSK9 inhibitor,Dyslipidemia,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,CVRM,Renal & metabolic,AZD2389,Phase II,Anti-fibrotic mechanism,Metabolic dysfunction-associated steatohepatitis,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,CVRM,Renal & metabolic,AZD6234,Phase II,Peptide therapy,Chronic weight management,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,CVRM,Renal & metabolic,AZD9550 + AZD6234,Phase II,GLP-1/glucagon dual agonist plus amylin agonist,Obesity,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Two-investigational-asset combination counted as one disclosed program.,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,CVRM,Renal & metabolic,balcinrenone / dapagliflozin,Phase III,Mineralocorticoid receptor modulator plus SGLT2 inhibitor,CKD and heart failure with CKD,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,CVRM,Renal & metabolic,elecoglipron (AZD5004),Phase II,Oral GLP-1 receptor agonist,Type 2 diabetes and chronic weight management,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,CVRM,Renal & metabolic,opemalirsen,Phase II,Podocyte-health therapeutic,Nephropathy,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,CVRM,Renal & metabolic,zibotentan / dapagliflozin,Phase III,Endothelin-A receptor antagonist plus SGLT2 inhibitor,CKD with high proteinuria,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Rare Disease,Rare disease,ALXN1920,Phase II,Kidney-targeted factor H fusion protein,Primary membranous nephropathy,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Rare Disease,Rare disease,ALXN2030,Phase II,Complement C3-targeting siRNA,Antibody-mediated rejection,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Rare Disease,Rare disease,ALXN2420,Phase II,Growth hormone receptor antagonist,Acromegaly,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Rare Disease,Rare disease,tarperprumig,Phase II,Kinase inhibitor,ANCA-associated vasculitis,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Rare Disease,Rare disease,anselamimab,Phase III / registration,Fibril-reactive monoclonal antibody,AL amyloidosis,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III / registration,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Rare Disease,Rare disease,cliramitug,Phase III,Transthyretin depleter,Transthyretin amyloid cardiomyopathy,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Rare Disease,Rare disease,efzimfotase alfa,Phase III,Next-generation TNSALP enzyme replacement therapy,Hypophosphatasia,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Rare Disease,Rare disease,eneboparatide,Phase III,Parathyroid hormone receptor 1 agonist,Hypoparathyroidism,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Rare Disease,Rare disease,gefurulimab,Phase III / registration,Dual-binding anti-C5 nanobody,Generalized myasthenia gravis,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III / registration,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Vaccines & Immune Therapies,Infectious disease,AZD0292,Phase II,Pseudomonas Psl/PcrV bispecific antibody,Bronchiectasis,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Vaccines & Immune Therapies,Infectious disease,AZD5148,Phase II,C. difficile TcdB monoclonal antibody,Reduction of C. difficile recurrence,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Vaccines & Immune Therapies,Infectious disease,AZD7760,Phase II,Anti-virulence monoclonal antibody combination,Prevention of Staphylococcus aureus infection,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
Bristol Myers Squibb,Oncology,Solid-tumor oncology,pumitamig,Phase III,PD-L1 x VEGF-A bispecific antibody,"NSCLC, ES-SCLC, TNBC and other solid tumors",2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,Multiple indications counted once under the lead asset.,NCT07361510,ROSETTA Lung-202,Phase III,NSCLC,"Advanced NSCLC, PD-L1 >=50%",First-line monotherapy versus pembrolizumab,2031-10-14,1,2,2032-2033,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT07361510,Representative Phase III study; later timing reflects the currently posted trial schedule.
Bristol Myers Squibb,Oncology,Solid-tumor oncology,izalontamab brengitecan (iza-bren),Phase II,EGFR x HER3 bispecific antibody-drug conjugate,"TNBC, EGFR-mutated NSCLC and urothelial cancer",2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT07100080,IZABRIGHT-Lung01,Phase II/III,NSCLC,EGFR-mutated NSCLC after EGFR-TKI failure,Post-EGFR TKI; compared with platinum-pemetrexed,2028-12-15,1,3,2029-2031,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT07100080,Phase II/III design.
Bristol Myers Squibb,Oncology,Solid-tumor oncology,navlimetostat,Phase II,PRMT5 inhibitor,"NSCLC, pancreatic cancer and other solid tumors",2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT06855771,MountainTAP-9,Phase II,NSCLC,MTAP-deleted advanced or metastatic NSCLC,Previously treated; after progression on prior therapies,2028-12-29,3,5,2031-2033,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06855771,Phase II; a registrational path is not assumed.
Bristol Myers Squibb,Oncology,Solid-tumor oncology,AR ligand-directed degrader,Phase III,Androgen receptor ligand-directed degrader,Metastatic castration-resistant prostate cancer,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT06764485,rechARge,Phase III,Prostate cancer,Metastatic castration-resistant prostate cancer,After prior androgen-receptor pathway inhibitor; versus docetaxel or second ARPI,2027-09-12,1,2,2028-2029,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06764485,Program is also known as BMS-986365.
Bristol Myers Squibb,Oncology,Solid-tumor oncology,atigotatug + nivolumab,Phase III,Investigational immuno-oncology combination,First-line extensive-stage small-cell lung cancer,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
Bristol Myers Squibb,Oncology,Solid-tumor oncology,nivolumab + relatlimab HD,Phase III,PD-1 plus LAG-3 immuno-oncology combination,First-line NSCLC with PD-L1 >=1%,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT06561386,RELATIVITY-1093,Phase III,NSCLC,"Stage IV/recurrent nonsquamous NSCLC, PD-L1 >=1%",First-line; nivolumab-relatlimab fixed dose plus chemotherapy,2030-07-30,1,2,2031-2032,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06561386,Potential label expansion of an approved combination; counted here as an investigational program in the matched snapshot.
Bristol Myers Squibb,Oncology,Solid-tumor oncology,RYZ101,Phase III,SSTR2-targeted radiopharmaceutical,SSTR2-positive gastroenteropancreatic neuroendocrine tumors,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
Bristol Myers Squibb,Hematology,Hematology,arlo-cel,Phase III,GPRC5D-directed autologous CAR-T,Multiple myeloma,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT06615479,QUINTESSENTIAL-2,Phase III,Multiple myeloma,"Relapsed/refractory, lenalidomide-exposed multiple myeloma",Relapsed/refractory setting; versus standard regimens,2027-12-30,1,2,2028-2029,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06615479,GPRC5D-directed CAR-T; program also has a later-line Phase II study.
Bristol Myers Squibb,Hematology,Hematology,golcadomide,Phase III,CELMoD / targeted protein degradation,Follicular lymphoma and high-risk large B-cell lymphoma,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT06356129,GOLSEEK-1,Phase III,B-cell lymphoma,Previously untreated high-risk large B-cell lymphoma,First-line; golcadomide plus R-CHOP,2028-08-14,1,2,2029-2030,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06356129,Representative Phase III study; additional follicular lymphoma work is underway.
Bristol Myers Squibb,Hematology,Hematology,iberdomide,Phase III,CELMoD / targeted protein degradation,Multiple myeloma,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT05827016,EXCALIBER-Maintenance,Phase III,Multiple myeloma,Newly diagnosed multiple myeloma maintenance,Maintenance following autologous stem-cell transplant,2029-03-15,1,2,2030-2031,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT05827016,Representative Phase III study; the asset has a broader development program.
Bristol Myers Squibb,Hematology,Hematology,mezigdomide,Phase III / registration,CELMoD / targeted protein degradation,Relapsed/refractory multiple myeloma,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT05552976,SUCCESSOR-2,Phase III,Multiple myeloma,Relapsed/refractory multiple myeloma,Mezigdomide-carfilzomib-dexamethasone versus carfilzomib-dexamethasone,2026-07-18,1,2,2027-2028,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT05552976,BMS reported positive Phase III results in 2026; launch timing remains an analyst scenario.
Bristol Myers Squibb,Immunology,"Immunology, respiratory & fibrosis",zola-cel (CD19 NEX-T),Phase III,CD19-directed CAR-T cell therapy,Systemic lupus erythematosus and systemic sclerosis,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
Bristol Myers Squibb,Immunology,"Immunology, respiratory & fibrosis",admilparant,Phase III,Oral LPA1 antagonist,Idiopathic and progressive pulmonary fibrosis,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
Bristol Myers Squibb,Immunology,"Immunology, respiratory & fibrosis",obexelimab,Phase III,B-cell-directed monoclonal antibody,IgG4-related disease,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
Bristol Myers Squibb,Cardiovascular,Cardiovascular,MYK-224,Phase II,Cardiac myosin inhibitor,Heart failure with preserved ejection fraction,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,NCT06122779,AURORA-HFpEF,Phase IIa,Heart failure,Heart failure with preserved ejection fraction,Symptomatic HFpEF; randomized placebo-controlled proof of concept,2026-07-03,3,5,2029-2031,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06122779,Cardiac myosin inhibitor; not the same indication as approved Camzyos.
Bristol Myers Squibb,Cardiovascular,Cardiovascular,milvexian,Phase III,Factor XIa inhibitor,Atrial fibrillation and secondary stroke prevention,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
Bristol Myers Squibb,Neuroscience,Neuroscience,anti-MTBR tau,Phase II,Tau-targeting monoclonal antibody,Alzheimer's disease,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
Bristol Myers Squibb,Neuroscience,Neuroscience,FAAH/MAGL dual inhibitor,Phase II,Small-molecule dual enzyme inhibitor,Alzheimer's disease agitation and multiple-sclerosis spasticity,2026-02-05,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
